;name;address;e-mail;site;telephone;e_mail
18;Ban Thai;95 rue Ecuyere 95 Rue Ecuyere, 76000, Rouen France;;http://www.banthai-rouen.fr/;tel:+33 2 35 08 33 24;
19;Fujiya Sushi Rouen;14 rue Sainte Croix des Pelletiers 14 Rue Sainte-Croix-des-Pelletiers, 76000, Rouen France;;http://www.fujiyasushi.fr;tel:+33 2 35 89 82 00;mailto:contact@fujiyasushi.fr?subject=?
20;BAR A VIN - Le Comptoir Henri IV;166 Place Henri IV, 76000, Rouen France;;;tel:+33 9 81 20 36 54;mailto:mlemic@bmimpression.com?subject=?
21;La Pecherie;Place basse vieille tour, 76000, Rouen France;;http://www.lapecherie.fr;tel:+33 2 35 88 71 00;mailto:lapecherierouen@live.fr?subject=?
22;La galerie restaurant rouen;4 rue Sainte Croix des Pelletiers, 76000, Rouen France;;http://www.facebook.com/restaurantlagalerierouen/;tel:+33 2 35 70 56 83;
23;Le Pavlova Salon de The - Patisserie;29 rue aux Juifs, 76000, Rouen France;;http://www.facebook.com/LePavlova/;tel:+33 9 86 71 75 92;
24;Raviolis & Bar;8 rue du General Giraud, 76000, Rouen France;;https://www.facebook.com/Raviolisbarrouen/?modal=admin_todo_tour;tel:+33 2 35 71 57 30;mailto:shizou76@gmail.com?subject=?
25;Bar à Vins le Trio;244 rue Martainville, 76000, Rouen France;;http://www.le-trio.fr/;tel:+33 2 32 83 33 29;mailto:marketing.letrio@gmail.com?subject=?
26;Tandem;11 rue Damiette, 76000, Rouen France;;http://tandem-rouen.fr/;tel:+33 2 32 83 18 63;mailto:tandemrestaurant76@gmail.com?subject=?
27;Le Bistrot d'Arthur;27 rue Cauchoise 27 Rue Cauchoise 76000 Rouen, 76000, Rouen France;;http://www.lebistrotdarthur.fr;tel:+33 2 35 15 51 14;mailto:contact@bistrotdarthur.fr?subject=?
28;Le 37;37 rue Saint Etienne des Tonneliers, 76000, Rouen France;;http://www.le37.fr/;tel:+33 2 35 70 56 65;mailto:contact@le37.fr?subject=?
29;La Cornaelle;174 rue Eau de Robec, 76000, Rouen France;;http://www.facebook.com/La-Corna%C3%ABlle-447051712028525;tel:+33 2 35 08 53 75;
30;Seine et Quai;Quai Ferdinand de Lesseps Hangar 10, 76000, Rouen France;;http://seineetquai.fr/;tel:+33 2 35 00 40 21;mailto:seineetquai@gmail.com?subject=?
31;Chez l'Gros;42 rue de la Vicomte, 76000, Rouen France;;https://www.facebook.com/ChezLGros/;tel:+33 2 32 83 57 23;
32;Alba Restaurant;236 rue Martainville, 76000, Rouen France;;http://www.alba-restaurant.fr/;tel:+33 9 87 36 44 24;mailto:alba-restaurant@outlook.fr?subject=?
33;Tandem;11 rue Damiette, 76000, Rouen France;;http://tandem-rouen.fr/;tel:+33 2 32 83 18 63;mailto:tandemrestaurant76@gmail.com?subject=?
34;Le Bistrot d'Arthur;27 rue Cauchoise 27 Rue Cauchoise 76000 Rouen, 76000, Rouen France;;http://www.lebistrotdarthur.fr;tel:+33 2 35 15 51 14;mailto:contact@bistrotdarthur.fr?subject=?
35;Le Bistrot d'Arthur;27 rue Cauchoise 27 Rue Cauchoise 76000 Rouen, 76000, Rouen France;;http://www.lebistrotdarthur.fr;tel:+33 2 35 15 51 14;mailto:contact@bistrotdarthur.fr?subject=?
36;La Cornaelle;174 rue Eau de Robec, 76000, Rouen France;;http://www.facebook.com/La-Corna%C3%ABlle-447051712028525;tel:+33 2 35 08 53 75;
37;Le 37;37 rue Saint Etienne des Tonneliers, 76000, Rouen France;;http://www.le37.fr/;tel:+33 2 35 70 56 65;mailto:contact@le37.fr?subject=?
38;Les Nympheas;7 rue de la Pie, 76000, Rouen France;;http://www.lesnympheas-rouen.fr/;tel:+33 2 35 89 26 69;mailto:lesnympheas.rouen@wanadoo.fr?subject=?
39;La Cornaelle;174 rue Eau de Robec, 76000, Rouen France;;http://www.facebook.com/La-Corna%C3%ABlle-447051712028525;tel:+33 2 35 08 53 75;
40;HOKKAIDO;5 rue des Bons Enfants 5 Rue des Bons Enfants, 76000, Rouen France;;http://www.hokkaido-rouen.fr;tel:+33 2 35 98 45 16;mailto:hokkaido.rouen@gmail.com?subject=?
41;Fujiya Sushi Rouen;14 rue Sainte Croix des Pelletiers 14 Rue Sainte-Croix-des-Pelletiers, 76000, Rouen France;;http://www.fujiyasushi.fr;tel:+33 2 35 89 82 00;mailto:contact@fujiyasushi.fr?subject=?
42;Les Capucines;16 rue Jean Mace, 76140 Le Petit Quevilly, Rouen France;;http://www.les-capucines.fr/;tel:+33 2 35 72 62 34;
43;Raviolis & Bar;8 rue du General Giraud, 76000, Rouen France;;https://www.facebook.com/Raviolisbarrouen/?modal=admin_todo_tour;tel:+33 2 35 71 57 30;mailto:shizou76@gmail.com?subject=?
44;Les Gens Heureux;196 rue Eau de Robec Situé dans la partie piétonne de la rue, 76000, Rouen France;;http://www.facebook.com/lesgensheureux.rouen/;tel:+33 2 77 07 70 72;mailto:falauzun@gmail.com?subject=?
45;La Marmite;3 rue de Florence Proximité Place Du Vieux Marché, 76000, Rouen France;;http://www.lamarmiterouen.com;tel:+33 2 35 71 75 55;mailto:lamarmite@aol.com?subject=?
46;Chez l'Gros;42 rue de la Vicomte, 76000, Rouen France;;https://www.facebook.com/ChezLGros/;tel:+33 2 32 83 57 23;
47;Les Beaux Arts;34 rue Damiette, 76000, Rouen France;;http://www.restaurant-des-beaux-arts.com;tel:+33 2 35 70 17 15;
48;Prelude;2 Place de la Pucelle D Orleans, 76000, Rouen France;;http://prelude-cafe.com;tel:+33 9 87 46 98 53;mailto:contact@dunecoffeeshop.com?subject=?
49;Auberge Saint Maclou;222 rue Martainville, 76000, Rouen France;;http://www.aubergesaintmaclou.com;tel:+33 2 35 71 06 67;mailto:aubergestmaclou@gmail.com?subject=?
50;Poppy's Fish & Chips - Burgers;21 rue Cauchoise, 76000, Rouen France;;https://www.facebook.com/Poppysfishandchips/;tel:+33 2 35 98 16 48;mailto:poppys.fishandchips@gmail.com?subject=?
51;La Petite Bouffe;1 rue des Boucheries Saint Ouen, 76000, Rouen France;;https://www.facebook.com/La-petite-bouffe-395827483865343/;tel:+33 2 35 98 13 14;
52;Seine et Quai;Quai Ferdinand de Lesseps Hangar 10, 76000, Rouen France;;http://seineetquai.fr/;tel:+33 2 35 00 40 21;mailto:seineetquai@gmail.com?subject=?
53;La Petite Epicerie;9 rue Massacre, 76000, Rouen France;;http://www.facebook.com/La-petite-%C3%A9picerie-Rouen-648146538561740;tel:+33 2 35 63 89 59;
54;In Situ;35 rue Jean Lecanuet En Face du Musee des Beaux Arts, 76000, Rouen France;;http://www.insitu-restaurant.com;tel:+33 2 35 88 93 48;mailto:restaurantinsitu@orange.fr?subject=?
55;Le Comptoir Des Halles;Place du Vieux Marche, Rouen France;;http://cotepoissons.com/;tel:+33 2 32 10 64 79;
56;Le Chabada;rue Armand Carrel, 76000, Rouen France;;http://www.le-chabada.com;tel:+33 2 35 71 58 20;mailto:contact@le-chabada.com?subject=?
57;Le 6eme sens;2 rue Thomas Corneille, 76000, Rouen France;;http://le-sixiemesens.fr/;tel:+33 2 35 88 43 97;mailto:contact@le-sixiemesens.fr?subject=?
58;Le Cap'Tain;14 rue de l Ancienne Prison, 76000, Rouen France;;http://le-captain-restaurant-rouen.eatbu.com/?lang=fr;tel:+33 2 78 71 40 26;mailto:lecaptainrouen@gmail.com?subject=?
59;Interm@de Brasserie;Zone du Gros Chene Parking Intermarché, 76230 Isneauville, Rouen France;;http://www.intermade-brasserie.fr;tel:+33 2 35 60 74 87;mailto:intermade-brasserie@orange.fr?subject=?
60;Al'1;5 Place de la Cathedrale, 76000, Rouen France;;;tel:+33 2 35 36 52 61;
61;Restaurant Philippe;54 rue aux Ours en Bas du gros horloge au croisement entre rue vergeture et rue aux ours, 76000, Rouen France;;;tel:+33 2 35 71 36 10;mailto:mathis.molinie.yvelin@gmail.com?subject=?
62;Fujiya Sushi Rouen;14 rue Sainte Croix des Pelletiers 14 Rue Sainte-Croix-des-Pelletiers, 76000, Rouen France;;http://www.fujiyasushi.fr;tel:+33 2 35 89 82 00;mailto:contact@fujiyasushi.fr?subject=?
63;La Place;26 Place du Vieux Marche, 76000, Rouen France;;http://www.laplace-restaurant-brasserie.fr;tel:+33 2 35 71 97 06;
64;La Parenthèse;7 rue de la Poterne, 76000, Rouen France;;http://laparenthese.metro.rest/;tel:+33 2 35 89 58 11;mailto:laparenthese76@gmail.com?subject=?
65;Social Perk;43 rue de la Tour de Beurre, 76000, Rouen France;;http://www.facebook.com/SocialPerkRouen/?locale2=fr_FR;tel:+33 2 35 62 28 05;
66;Le French Burger;42 rue Cauchoise Angle rue de Fontenelle, 76000, Rouen France;;http://www.facebook.com/LeFrenchBurgerByPhilippeCyril;tel:+33 9 82 29 32 93;
67;Raviolis & Bar;8 rue du General Giraud, 76000, Rouen France;;https://www.facebook.com/Raviolisbarrouen/?modal=admin_todo_tour;tel:+33 2 35 71 57 30;mailto:shizou76@gmail.com?subject=?
68;Rotomagus;7 Place Barthelemy, 76000, Rouen France;;http://www.rotomagus.eu;tel:+33 2 35 07 26 57;mailto:rotomagusrouen@yahoo.com?subject=?
69;Creperie Roland;22 rue Saint Nicolas A l'angle de la rue Saint Amand, 76000, Rouen France;;http://www.facebook.com/creperieroland;tel:+33 2 32 10 19 76;
70;Gill Cote Bistro;14 Place du Vieux Marche, 76000, Rouen France;;http://www.gill-cote-bistro.fr;tel:+33 2 35 89 88 72;
71;Fujiya Sushi Rouen;14 rue Sainte Croix des Pelletiers 14 Rue Sainte-Croix-des-Pelletiers, 76000, Rouen France;;http://www.fujiyasushi.fr;tel:+33 2 35 89 82 00;mailto:contact@fujiyasushi.fr?subject=?
72;Chez l'Gros;42 rue de la Vicomte, 76000, Rouen France;;https://www.facebook.com/ChezLGros/;tel:+33 2 32 83 57 23;
73;Restaurant La Couronne;31 Place du Vieux Marche Devant l'église Sainte Jeanne d'Arc, 76000, Rouen France;;http://www.lacouronne-rouen.fr/;tel:+33 2 35 71 40 90;mailto:contact@lacouronne-rouen.fr?subject=?
74;Le Quattro;1884 route de Neufchatel, 76230 Isneauville, Rouen France;;http://www.pizzeria-lequattro.fr/;tel:+33 2 35 60 32 33;
75;Bella Pizza;8 rue du Tambour 8 Rue du Tambour, 76000, 76000, Rouen France;;http://deliveroo.fr/fr/menu/rouen/rouen-vieux-marche-cathedrale/bella-pizza-rouen?day=today&time=ASAP;tel:+33 9 83 75 91 65;
76;Bistro Nova;29 Place du Lieutenant Aubert, 76000, Rouen France;;https://www.facebook.com/Bistro-Nova-1096347473713980/;tel:+33 2 35 70 20 25;
77;Arkose Rouen;181 quai du cours la Reine, 76100, Rouen France;;http://rouen.arkose.com/;tel:+33 2 90 87 01 50;mailto:contactrouen@arkose.com?subject=?
78;Le Garde Manger;23 Place de la Pucelle D Orleans, 76000, Rouen France;;http://www.legardemangerrouen.com/;tel:+33 2 35 71 19 54;mailto:legardermangerrouen@gmail.com?subject=?
79;La Rose des Vents;33 Place de la Basse Vieille Tour, 76000, Rouen France;;https://www.facebook.com/-La-rose-des-vents-restaurant-%C3%A0-Rouen--128357733853989/;tel:02 35 70 29 78;mailto:larosedesvents76@wanadoo.fr?subject=?
80;Le P'tit Zinc;20 Place du Vieux Marche 20 Place du Vieux Marché, 76000, Rouen France;;http://www.restaurant76.fr;tel:+33 2 35 89 39 69;
81;L'epicurius;31 rue Damiette, 76000, Rouen France;;;tel:+33 9 75 30 04 67;
82;Seine et Quai;Quai Ferdinand de Lesseps Hangar 10, 76000, Rouen France;;http://seineetquai.fr/;tel:+33 2 35 00 40 21;mailto:seineetquai@gmail.com?subject=?
83;Ho Lamian;243 rue Eau de Robec, 76000, Rouen France;;http://www.holamian.com;tel:+33 2 76 28 50 87;mailto:jcliger@sansgain.org?subject=?
84;veau d'or;rue Desseaux, 76000, Rouen France;;http://www.restaurantleveaudor.fr;tel:+33 2 35 72 76 60;
85;La Barbue;236 rue Martainville, 76000, Rouen France;;;tel:+33 6 36 13 50 84;
86;Bacchus;9 rue du Bac, 76000, Rouen France;;http://www.facebook.com/bacchusbaravin;tel:+33 9 70 92 14 86;
87;Les Beaux Arts;34 rue Damiette, 76000, Rouen France;;http://www.restaurant-des-beaux-arts.com;tel:+33 2 35 70 17 15;
88;Les Soeurs Syrienne, Rouen;17 Place Saint Marc, 76000, Rouen France;;http://www.lessoeurssyriennes.fr;tel:+33 2 35 73 57 54;
89;La Tarte Tatin;Place page 99 Rue de La Vicomté, 76000, Rouen France;;http://www.facebook.com/latartetatin;tel:+33 2 35 89 35 73;
90;Le Zebre a Pois;17 rue aux Ours, 76000, Rouen France;;http://fr-fr.facebook.com/pages/Le-Z%C3%A8bre-%C3%80-Pois/161349753880942;tel:+33 2 35 70 42 00;mailto:lezebreapois@orange.fr?subject=?
91;Le Gourmand du Sud Ouest;24 rue Rollon, 76000, Rouen France;;https://www.facebook.com/legourmanddusudouest.rouen/;tel:+33 (0) 35 07 36 08;mailto:dominique.tessal@orange.fr?subject=?
92;La Taormina;18 rue du Vieux Palais, 76000, Rouen France;;https://www.facebook.com/lataormina/;tel:+33 2 35 70 94 06;
93;La Pizzeria du Drugstore;2 rue Beauvoisine Absence D'accessibilite Depuis Trop Longtemps, 76000, Rouen France;;http://pizzeriadrugstore.fr;tel:+33 9 82 33 43 18;mailto:contact@pizzeriadrugstore.fr?subject=?
94;Diner Red Rooster;14 rue du General Leclerc, 76000, Rouen France;;http://www.facebook.com/pages/Diner-Red-Rooster/225823820956316;tel:+33 2 76 61 42 43;
95;Les Fils à Maman Rouen;232 rue Martainville, 76000, Rouen France;;http://www.lesfilsamaman.com/rouen/;tel:+33 2 27 08 57 45;mailto:paul.bayol@lesfilsamaman.com?subject=?
96;Mok Rouen;20 B Place Saint Amand, 76000, Rouen France;;https://www.facebook.com/mokrouen/;tel:+33 9 82 58 69 78;
97;Brasserie Paul;1 Place de la Cathedrale, 76000, Rouen France;;http://www.brasserie-paul.com/index.php;tel:+33 2 35 71 86 07;mailto:brasseriepaul@wanadoo.fr?subject=?
98;Arkose Rouen;181 quai du cours la Reine, 76100, Rouen France;;http://rouen.arkose.com/;tel:+33 2 90 87 01 50;mailto:contactrouen@arkose.com?subject=?
99;Delicious;3 rue de l Hopital, 76000, Rouen France;;https://www.facebook.com/deliciousrouen/;tel:+33 7 67 26 68 28;mailto:deliciousrouen@gmail.com?subject=?
100;Hai Bà;10 rue des Augustins, 76000, Rouen France;;https://www.facebook.com/pg/restohaiba/reviews/;tel:+33 2 35 36 88 75;mailto:vongo.sarl@gmail.com?subject=?
101;La Bekaa;60 rue de Fontenelle, 76000, Rouen France;;https://www.facebook.com/La-Bekaa-cuisine-libanaise-288995744543848/;tel:+33 2 35 15 58 58;
102;Namaste;Avenue de Bretagne Centre commercial Saint Sever, 76100, Rouen France;;https://www.facebook.com/namasterouenstsever/;tel:+33 2 35 52 00 76;
103;Raviolis & Bar;8 rue du General Giraud, 76000, Rouen France;;https://www.facebook.com/Raviolisbarrouen/?modal=admin_todo_tour;tel:+33 2 35 71 57 30;mailto:shizou76@gmail.com?subject=?
104;Le Dominion;12 rue du Belvedere, 76130 Mont-Saint-Aignan, Rouen France;;http://www.le-dominion.fr/;tel:+33 2 35 71 61 06;mailto:ledominion@orange.fr?subject=?
105;Hayashi;Centre Commercial de Rouen St-Sever, 76000, Rouen France;;http://www.restaurant-hayashi.fr/;tel:+33 2 35 62 53 27;
106;Seine et Quai;Quai Ferdinand de Lesseps Hangar 10, 76000, Rouen France;;http://seineetquai.fr/;tel:+33 2 35 00 40 21;mailto:seineetquai@gmail.com?subject=?
107;Chez l'Gros;42 rue de la Vicomte, 76000, Rouen France;;https://www.facebook.com/ChezLGros/;tel:+33 2 32 83 57 23;
108;O'Bangkok;10 rue Perciere, 76000, Rouen France;;https://www.facebook.com/restOBangkok/;tel:+33 9 51 03 52 54;
109;Cancan;43 Place du Vieux Marche, 76000, Rouen France;;http://cancan-rouen.com;tel:+33 2 35 15 54 34;mailto:frank@cancan-rouen.com?subject=?
110;L'ardoise;33 allee Eugene Delacroix, 76000, Rouen France;;https://www.facebook.com/Lardoise-453810481817553/;tel:+33 2 35 07 75 15;mailto:corinne.ardoise@orange.fr?subject=?
111;Taverne St-Amant;11 rue Saint Amand, 76000, Rouen France;;http://tavernesaintamant.fr/;tel:+33 2 35 88 51 34;
112;Fujiya Sushi Rouen;14 rue Sainte Croix des Pelletiers 14 Rue Sainte-Croix-des-Pelletiers, 76000, Rouen France;;http://www.fujiyasushi.fr;tel:+33 2 35 89 82 00;mailto:contact@fujiyasushi.fr?subject=?
113;Le Cap Vers;13 rue de la Republique Parking à proximité, 76000, Rouen France;;http://www.facebook.com/lecapvers/;tel:+33 2 35 89 07 09;mailto:lecapversrouen@gmail.com?subject=?
114;Wooper's;Boulevard Ferdinand de Lesseps C.Cial Docks 76, 76000, Rouen France;;http://www.facebook.com/Woopers-1631280423813004;tel:+33 9 67 58 94 14;
115;Cafe Saint Vincent;8 Place du Vieux Marche Au Coeur du Centre Ville Tres Ensoleillee, 76000, Rouen France;;;tel:+33 2 35 71 96 51;
116;Au P'ti Verdot;13 rue du Pere Adam, 76000, Rouen France;;http://www.facebook.com/AU-PTI-VERDOT-145074178892507/timeline/;tel:+33 2 35 36 34 43;
117;Les Beaux Arts;34 rue Damiette, 76000, Rouen France;;;tel:+33 2 35 70 17 15;
118;Pizza Delice;18 avenue Jean Rondeaux, 76100, Rouen France;;http://www.pizzadelicerouen.fr/;tel:+33 2 35 71 99 99;mailto:pizzadelice76@gmail.com?subject=?
119;Au Prince des Sables;78 rue Orbe, 76000, Rouen France;;http://www.auprincedesables.fr/;tel:+33 2 35 70 77 40;mailto:soniapointel@hotmail.fr?subject=?
120;Restaurant La Dune;10 Place des Emmurees, 76100, Rouen France;;http://www.ladune-restaurant.fr;tel:+33 2 35 63 57 86;
121;Le Rajasthan;17 rue de la Pie, 76000, Rouen France;;http://Wwww.lerajasthan.com;tel:+33 2 32 08 44 18;
122;Le Bistroquet chez Cedric;220 rue Martainville, 76000, Rouen France;;http://www.lebistroquetchezcedric.fr;tel:+33 2 32 08 09 60;
123;L'Anticonformiste;11 rue du Pere Adam, 76000, Rouen France;;http://www.facebook.com/Lanticonformiste-1416302895311495/;tel:+33 2 35 07 31 91;
124;French Coffee Shop;16 rue Thouret, 76000, Rouen France;;http://www.facebook.com/French-Coffee-Shop-Rouen-188756281283397/;tel:+33 2 35 98 65 29;
125;Fujiya Sushi Rouen;14 rue Sainte Croix des Pelletiers 14 Rue Sainte-Croix-des-Pelletiers, 76000, Rouen France;;http://www.fujiyasushi.fr;tel:+33 2 35 89 82 00;mailto:contact@fujiyasushi.fr?subject=?
126;Cocoon Bar;46 rue de Fontenelle, 76000, Rouen France;;https://www.facebook.com/cocoonbarrouen76/;tel:+33 6 15 78 37 37;
127;Les Inities;45 rue aux Juifs, 76000, Rouen France;;http://www.lesinitiesrouen.fr/;tel:+33 2 35 71 54 21;mailto:lesinities@hotmail.fr?subject=?
128;Le Figuier;31 rue Anatole France, 76000, Rouen France;;https://website--851287666811702674779-restaurant.business.site/;tel:+33 2 35 70 19 10;
129;Sourire du Tibet;11 rue Saint Sever, 76100, Rouen France;;http://www.souriredutibet.com/;tel:+33 2 35 73 86 41;
130;Seine et Quai;Quai Ferdinand de Lesseps Hangar 10, 76000, Rouen France;;http://seineetquai.fr/;tel:+33 2 35 00 40 21;mailto:seineetquai@gmail.com?subject=?
131;Les Petits Parapluies;46 rue du petit Porche, 76000, Rouen France;;http://www.lesptits-parapluies.com/;tel:+33 2 35 88 55 26;mailto:lespetitsparapluies@hotmail.fr?subject=?
132;Le Berbere;15 rue des Boucheries Saint Ouen, 76000, Rouen France;;;tel:+33 2 35 98 47 15;
133;Le Saint Romain;52 rue Saint Romain, 76000, Rouen France;;https://www.facebook.com/Le-Saint-Romain-323874421890159/?ref=search&__tn__=%2Cd%2CP-R&eid=ARCnup8wMmRaAdxb1slraOhA9479Nva79tu49fgYrCfi19WyAUGRw1CU-f2YRNd7aqfK36S_178BUknF;tel:+33 2 35 88 90 36;
134;Brasserie Midi Vin;9 Place de l Eglise, 76130 Mont-Saint-Aignan, Rouen France;;http://www.brasserie-midivin.fr/;tel:+33 2 35 74 21 00;
135;La Régalière;12 rue Massacre, 76000, Rouen France;;;tel:+33 2 35 15 33 33;
136;Les Beaux Arts;34 rue Damiette, 76000, Rouen France;;http://www.restaurant-des-beaux-arts.com;tel:+33 2 35 70 17 15;
137;B52;52 rue du General Leclerc, 76000, Rouen France;;http://www.facebook.com/b52rouen/;tel:+33 9 81 86 29 28;mailto:b52.rouen@gmail.com?subject=?
138;Palais d'Asie;33 rue Saint Etienne des Tonneliers, 76000, Rouen France;;;tel:+33 2 35 89 47 24;
139;SUN;100 rue Ganterie, 76000, Rouen France;;http://www.sun-japonais.com;tel:+33 2 32 08 09 49;
140;LE PALAIS INDIEN;93 rue Bouvreuil, 76000, Rouen France;;http://www.lepalaisindien.com;tel:+33 2 35 07 31 59;
141;Alyio Nouchka;64 rue Cauchoise, 76000, Rouen France;;https://www.facebook.com/Alyio-Nouchka-135333599848287/?fref=ts;tel:+33 2 32 08 69 88;
142;Arkose Rouen;181 quai du cours la Reine, 76100, Rouen France;;http://rouen.arkose.com/;tel:+33 2 90 87 01 50;mailto:contactrouen@arkose.com?subject=?
143;Le Jm's Café;2 Place du Vieux Marche, 76000, Rouen France;;http://jms-cafe.business.site;tel:+33 2 35 98 68 69;
144;O’Baristo;1 rue de la Pie Place du Vieux Marché, 76000, Rouen France;;http://www.facebook.com/restaurantobaristo;tel:+33 2 35 88 21 68;mailto:contact@obaristo.com?subject=?
145;Maison Hardy;22 Place du Vieux Marche, 76000, Rouen France;;http://maisonhardy.fr;tel:+33 2 35 71 81 55;
146;Nachos;Boulevard Ferdinand De Lesseps Centre Commercial Docks 76, 76000, Rouen France;;http://nachos.fr/;tel:+33 2 35 72 02 05;mailto:contact@nachos.fr?subject=?
147;Ariana Restaurant;14 rue Victor Hugo Quartier Saint Marc, 76000, Rouen France;;http://restariana.chez.com/;tel:+33 2 35 15 18 08;
148;Hygge;15 rue Sainte Croix des Pelletiers, 76000, Rouen France;;https://www.facebook.com/hyggerouen;tel:+33 2 35 52 09 90;mailto:hyggerouen@gmail.com?subject=?
149;Le Joubeil;52 rue des Augustins, 76000, Rouen France;;https://joubeil.business.site/;tel:+33 2 35 70 11 75;
150;LA MIGA;17 rue du Pere Adam, 76000, Rouen France;;http://www.lamiga.fr;tel:+33 9 80 31 05 63;mailto:contact@lamiga.fr?subject=?
151;Restaurant Ikat;110 rue Saint Hilaire, 76000, Rouen France;;http://ikat-restaurant.fr/;tel:+33 2 35 98 74 55;mailto:ikat.restaurant@gmail.com?subject=?
152;Dinette;31 rue Perciere, 76000, Rouen France;;https://www.facebook.com/pg/D%C3%AEnette-restaurant-rouen-1715935808720522/about/?ref=page_internal;tel:+33 2 35 15 49 46;
153;L'Etoile D'Or;21 Place du Lieutenant Aubert, 76000, Rouen France;;http://www.cityvox.fr/restaurants_rouen/l-etoile-d-or_200059340/Profil-Lieu;tel:+33 2 35 71 05 13;
154;Le Kerso;19 rue de la Pie, 76000, Rouen France;;https://www.facebook.com/KERSO-cr%C3%AAperie-289081628334061/;tel:+33 7 82 47 27 02;
155;Fujiya sushi - Le Petit Quevilly;83 boulevard du 11 Novembre, 76140 Le Petit Quevilly, Rouen France;;http://www.fujiyasushi.fr/restaurants-fujiya-sushi-le-petit-quevilly.html;tel:+33 2 32 12 15 29;
156;le reverbere;9 Place de la Republique, 76000, Rouen France;;http://www.le-reverbere-rouen.fr/;tel:+33 2 35 07 03 14;mailto:contact@le-reverbere-rouen.fr?subject=?
157;Fujiya Sushi Rouen;14 rue Sainte Croix des Pelletiers 14 Rue Sainte-Croix-des-Pelletiers, 76000, Rouen France;;http://www.fujiyasushi.fr;tel:+33 2 35 89 82 00;mailto:contact@fujiyasushi.fr?subject=?
158;Plaza Paella Tapas;24 boulevard des Belges, 76000, Rouen France;;http://www.plaza-paella-tapas.fr;tel:+33 2 35 89 25 40;mailto:contact@plaza-paella-tapas.fr?subject=?
159;La Walsheim;260 rue Martainville, 76000, Rouen France;;http://www.lawalsheim.fr/;tel:+33 2 35 98 27 50;
160;Le Paradis du Fruit;1 boulevard Ferdinand de Lesseps Docks 76, 76000, Rouen France;;http://www.leparadisdufruit.fr;tel:+33 2 35 15 93 88;mailto:serviceclient@leparadisdufruit.fr?subject=?
161;Lauryl's;25 rue des Bonnetiers, 76000, Rouen France;;http://lauryls.business.site;tel:+33 2 35 71 87 06;mailto:laurylsrestaurant@gmail.com?subject=?
